name,slug,color,color_dark,level,icon
JavaScript,javascript,F7DF1E,F7DF1E,100,
React,react,61DAFB,61DAFB,100,
Node.js,nodedotjs,5FA04E,5FA04E,100,
Django,django,092E20,44B78B,100,
PostgreSQL,postgresql,4169E1,4169E1,100,
Docker,docker,2496ED,2496ED,100,
Flutter,flutter,02569B,02569B,100,
Firebase,firebase,FFCA28,FFCA28,100,
Spring,spring,6DB33F,6DB33F,100,
Next.js,nextdotjs,000000,FFFFFF,100,
FastAPI,fastapi,009688,009688,100,
Apache Kafka,apachekafka,231F20,FFFFFF,100,
Keycloak,keycloak,4D4D4D,FFFFFF,100,
Google Cloud,googlecloud,4285F4,4285F4,100,
FlutterFlow,flutterflow,4B39EF,4B39EF,100,img/tech/flutterflow.png
